Price,Metro station,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Apartment_type_Digit,Region_Digit,Renovation_N_Cosmetic,Renovation_N_Designer,Renovation_N_European-style renovation,Renovation_N_Without renovation,Living_share,Kitchen_share,Is_first_floor
6650000.0, Опалиха,16.0,1.0,34.0,15.0,11.0,6.0,12,0,0,1,0,0,0,0.4411764705882353,0.3235294117647059,0
6750000.0, Опалиха,19.0,1.0,34.0,18.0,6.0,1.0,6,0,0,0,0,1,0,0.5294117647058824,0.17647058823529413,1
6800000.0, Опалиха,7.0,1.0,35.5,14.9,11.5,12.0,25,0,0,1,0,0,0,0.4197183098591549,0.323943661971831,0
6800000.0, Опалиха,16.0,1.0,40.8,17.0,14.9,2.0,8,0,0,0,0,0,1,0.4166666666666667,0.3651960784313726,0
6800000.0, Опалиха,15.0,1.0,35.5,16.0,11.5,2.0,12,0,0,0,0,0,1,0.4507042253521127,0.323943661971831,0
6890000.0, Тушинская,16.0,1.0,35.4,17.0,8.4,4.0,14,0,0,0,0,1,0,0.480225988700565,0.23728813559322035,0
6800000.0, Опалиха,5.0,1.0,37.9,18.0,9.0,9.0,18,0,0,1,0,0,0,0.474934036939314,0.237467018469657,0
6800000.0, Павшино,14.0,1.0,35.1,17.7,8.0,5.0,9,0,0,1,0,0,0,0.5042735042735043,0.22792022792022792,0
6990000.0, Красногорская,18.0,1.0,29.0,15.2,5.0,5.0,5,0,0,0,0,1,0,0.5241379310344827,0.1724137931034483,0
7000000.0, Красногорская,8.0,1.0,37.0,14.5,10.1,15.0,24,0,0,1,0,0,0,0.3918918918918919,0.27297297297297296,0
7000000.0, Опалиха,6.0,1.0,32.6,13.8,8.7,3.0,9,0,0,0,0,1,0,0.4233128834355828,0.26687116564417174,0
7000000.0, Павшино,20.0,1.0,46.0,20.0,8.0,11.0,25,0,0,0,0,0,1,0.43478260869565216,0.17391304347826086,0
7000000.0, Красногорская,39.0,1.0,38.0,19.0,9.0,9.0,14,0,0,1,0,0,0,0.5,0.23684210526315788,0
7100000.0, Опалиха,5.0,1.0,39.6,17.6,8.2,2.0,18,0,0,0,0,1,0,0.4444444444444445,0.20707070707070704,0
7200000.0, Тушинская,17.0,1.0,40.0,22.4,9.9,4.0,25,0,0,1,0,0,0,0.5599999999999999,0.2475,0
7200000.0, Опалиха,7.0,1.0,35.6,14.0,11.4,7.0,24,0,0,0,0,1,0,0.3932584269662921,0.3202247191011236,0
7200000.0, Опалиха,6.0,1.0,40.0,15.7,8.2,2.0,11,0,0,0,0,1,0,0.39249999999999996,0.205,0
7200000.0, Красногорская,15.0,1.0,32.0,19.0,6.0,3.0,5,0,0,1,0,0,0,0.59375,0.1875,0
7200000.0, Опалиха,6.0,1.0,38.0,19.0,8.0,7.0,17,0,0,1,0,0,0,0.5,0.21052631578947367,0
7290000.0, Опалиха,6.0,1.0,38.4,16.8,10.4,14.0,26,0,0,0,0,1,0,0.43750000000000006,0.27083333333333337,0
7300000.0, Опалиха,5.0,1.0,39.3,13.2,13.2,22.0,25,0,0,0,0,1,0,0.33587786259541985,0.33587786259541985,0
7300000.0, Павшино,7.0,1.0,39.3,19.5,9.4,3.0,14,0,0,1,0,0,0,0.4961832061068703,0.23918575063613234,0
7400000.0, Опалиха,6.0,1.0,39.5,12.7,15.1,22.0,25,0,0,1,0,0,0,0.32151898734177214,0.3822784810126582,0
7400000.0, Красногорская,6.0,1.0,34.0,15.0,8.0,9.0,9,0,0,0,0,1,0,0.4411764705882353,0.23529411764705882,0
7499000.0, Опалиха,4.0,1.0,32.0,15.0,10.0,2.0,8,0,0,0,0,0,1,0.46875,0.3125,0
7450000.0, Опалиха,10.0,1.0,32.2,15.0,9.1,9.0,12,0,0,0,0,1,0,0.4658385093167701,0.2826086956521739,0
7500000.0, Павшино,12.0,1.0,32.0,17.0,10.0,7.0,21,0,0,0,0,1,0,0.53125,0.3125,0
7500000.0, Митино,12.0,1.0,57.0,20.6,12.0,1.0,10,0,0,1,0,0,0,0.36140350877192984,0.21052631578947367,1
7500000.0, Опалиха,6.0,1.0,37.4,15.2,11.1,5.0,25,0,0,0,0,0,1,0.40641711229946526,0.2967914438502674,0
